Season,Date,Home Team,Away Team,Score
2008-2009,16:00,Athletic Bilbao,Recreativo Huelva,"1            

                1"
2008-2009,16:00,Numancia,Real Mallorca,"0            

                1"
2008-2009,16:00,Racing Santander,Villarreal,"1            

                1"
2008-2009,16:00,Sporting Gijon,Real Madrid,"0            

                4"
2008-2009,18:00,Espanyol,Sevilla,"0            

                2"
2008-2009,20:00,Atletico Madrid,Getafe,"1            

                1"
2008-2009,19:00,Deportivo La Coruna,Osasuna,"0            

                0"
2008-2009,19:00,Real Betis,Barcelona,"2            

                2"
2008-2009,21:00,Valencia,Malaga,"1            

                1"
2008-2009,16:00,Getafe,Espanyol,"1            

                1"
2008-2009,16:00,Malaga,Almeria,"3            

                2"
2008-2009,16:00,Real Mallorca,Deportivo La Coruna,"1            

                1"
2008-2009,16:00,Real Valladolid,Athletic Bilbao,"2            

                1"
2008-2009,16:00,Recreativo Huelva,Atletico Madrid,"0            

                3"
2008-2009,16:00,Villarreal,Numancia,"2            

                1"
2008-2009,18:00,Barcelona,Sporting Gijon,"3            

                1"
2008-2009,20:00,Osasuna,Valencia,"1            

                0"
2008-2009,19:00,Real Madrid,Racing Santander,"1            

                0"
2008-2009,21:00,Sevilla,Real Betis,"1            

                2"
2008-2009,16:00,Atletico Madrid,Real Valladolid,"1            

                2"
2008-2009,16:00,Deportivo La Coruna,Villarreal,"3            

                0"
2008-2009,16:00,Espanyol,Recreativo Huelva,"1            

                1"
2008-2009,16:00,Osasuna,Real Mallorca,"1            

                0"
2008-2009,16:00,Racing Santander,Barcelona,"1            

                2"
2008-2009,16:00,Real Betis,Getafe,"2            

                2"
2008-2009,18:00,Valencia,Almeria,"3            

                2"
2008-2009,20:00,Sporting Gijon,Sevilla,"1            

                0"
2008-2009,19:00,Athletic Bilbao,Malaga,"3            

                2"
2008-2009,21:00,Numancia,Real Madrid,"0            

                2"
2008-2009,16:00,Almeria,Athletic Bilbao,"2            

                1"
2008-2009,16:00,Getafe,Sporting Gijon,"5            

                1"
2008-2009,16:00,Malaga,Atletico Madrid,"1            

                1"
2008-2009,16:00,Real Mallorca,Valencia,"3            

                1"
2008-2009,16:00,Real Valladolid,Espanyol,"1            

                1"
2008-2009,16:00,Recreativo Huelva,Real Betis,"1            

                0"
2008-2009,18:00,Sevilla,Racing Santander,"0            

                2"
2008-2009,20:00,Real Madrid,Deportivo La Coruna,"1            

                0"
2008-2009,19:00,Villarreal,Osasuna,"1            

                1"
2008-2009,21:00,Barcelona,Numancia,"4            

                1"
2008-2009,16:00,Getafe,Racing Santander,"0            

                1"
2008-2009,16:00,Malaga,Espanyol,"4            

                0"
2008-2009,16:00,Real Madrid,Osasuna,"3            

                1"
2008-2009,16:00,Real Valladolid,Real Betis,"1            

                3"
2008-2009,16:00,Recreativo Huelva,Sporting Gijon,"2            

                0"
2008-2009,16:00,Villarreal,Real Mallorca,"2            

                0"
2008-2009,18:00,Athletic Bilbao,Valencia,"3            

                2"
2008-2009,20:00,Almeria,Atletico Madrid,"1            

                1"
2008-2009,19:00,Barcelona,Deportivo La Coruna,"5            

                0"
2008-2009,21:00,Sevilla,Numancia,"1            

                0"
2009-2010,18:00,Barcelona,Real Valladolid,"4            

                0"
2009-2010,18:00,Malaga,Real Madrid,"1            

                1"
2009-2010,18:00,Osasuna,Xerez,"1            

                1"
2009-2010,18:00,Racing Santander,Sporting Gijon,"2            

                0"
2009-2010,18:00,Valencia,Tenerife,"1            

                0"
2009-2010,17:00,Athletic Bilbao,Deportivo La Coruna,"2            

                0"
2009-2010,19:00,Atletico Madrid,Getafe,"0            

                3"
2009-2010,19:00,Real Zaragoza,Villarreal,"3            

                3"
2009-2010,21:00,Almeria,Sevilla,"2            

                3"
2009-2010,21:00,Real Mallorca,Espanyol,"2            

                0"
2009-2010,20:00,Deportivo La Coruna,Real Mallorca,"1            

                0"
2009-2010,20:00,Espanyol,Osasuna,"2            

                1"
2009-2010,20:00,Getafe,Malaga,"2            

                1"
2009-2010,20:00,Real Madrid,Athletic Bilbao,"5            

                1"
2009-2010,20:00,Real Valladolid,Racing Santander,"2            

                1"
2009-2010,20:00,Sevilla,Barcelona,"2            

                3"
2009-2010,20:00,Sporting Gijon,Atletico Madrid,"1            

                1"
2009-2010,20:00,Tenerife,Almeria,"2            

                2"
2009-2010,20:00,Villarreal,Valencia,"2            

                0"
2009-2010,20:00,Xerez,Real Zaragoza,"3            

                2"
2009-2010,19:00,Atletico Madrid,Real Valladolid,"3            

                1"
2009-2010,19:00,Osasuna,Deportivo La Coruna,"3            

                1"
2009-2010,19:00,Racing Santander,Sevilla,"1            

                5"
2009-2010,19:00,Real Zaragoza,Espanyol,"1            

                0"
2009-2010,21:00,Real Mallorca,Real Madrid,"1            

                4"
2009-2010,19:00,Almeria,Villarreal,"4            

                2"
2009-2010,19:00,Barcelona,Tenerife,"4            

                1"
2009-2010,19:00,Getafe,Sporting Gijon,"1            

                1"
2009-2010,21:00,Valencia,Xerez,"3            

                1"
2009-2010,16:00,Sevilla,Atletico Madrid,"3            

                1"
2009-2010,18:00,Real Madrid,Osasuna,"3            

                2"
2009-2010,20:00,Athletic Bilbao,Real Mallorca,"1            

                3"
2009-2010,17:00,Deportivo La Coruna,Real Zaragoza,"0            

                1"
2009-2010,17:00,Malaga,Sporting Gijon,"1            

                1"
2009-2010,17:00,Real Valladolid,Getafe,"0            

                0"
2009-2010,17:00,Tenerife,Racing Santander,"2            

                1"
2009-2010,17:00,Xerez,Almeria,"2            

                1"
2009-2010,19:00,Espanyol,Valencia,"0            

                2"
2009-2010,21:00,Villarreal,Barcelona,"1            

                4"
2009-2010,20:00,Osasuna,Athletic Bilbao,"0            

                0"
2009-2010,16:00,Almeria,Espanyol,"0            

                1"
2009-2010,16:00,Racing Santander,Villarreal,"1            

                2"
2009-2010,16:00,Real Mallorca,Malaga,"1            

                1"
2009-2010,16:00,Sporting Gijon,Real Valladolid,"0            

                2"
2009-2010,18:00,Atletico Madrid,Tenerife,"3            

                1"
2009-2010,20:00,Getafe,Sevilla,"4            

                3"
2009-2010,17:00,Barcelona,Xerez,"3            

                1"
2009-2010,19:00,Real Zaragoza,Real Madrid,"1            

                2"
2009-2010,21:00,Valencia,Deportivo La Coruna,"1            

                0"
2009-2010,20:00,Real Mallorca,Osasuna,"2            

                0"
2009-2010,16:00,Deportivo La Coruna,Almeria,"0            

                0"
2009-2010,16:00,Malaga,Real Valladolid,"0            

                0"
2009-2010,16:00,Tenerife,Getafe,"3            

                2"
2009-2010,16:00,Xerez,Racing Santander,"2            

                2"
2009-2010,18:00,Athletic Bilbao,Real Zaragoza,"0            

                0"
2009-2010,20:00,Real Madrid,Valencia,"2            

                0"
2009-2010,17:00,Sevilla,Sporting Gijon,"3            

                0"
2009-2010,19:00,Espanyol,Barcelona,"0            

                0"
2009-2010,21:00,Villarreal,Atletico Madrid,"2            

                1"
2009-2010,19:00,Almeria,Real Madrid,"1            

                2"
2009-2010,21:00,Valencia,Athletic Bilbao,"2            

                0"
2009-2010,19:00,Atletico Madrid,Xerez,"1            

                2"
2009-2010,19:00,Osasuna,Malaga,"2            

                2"
2009-2010,19:00,Racing Santander,Espanyol,"3            

                1"
2009-2010,19:00,Real Zaragoza,Real Mallorca,"1            

                1"
2009-2010,21:00,Barcelona,Deportivo La Coruna,"3            

                0"
2009-2010,19:00,Real Valladolid,Sevilla,"2            

                1"
2009-2010,19:00,Sporting Gijon,Tenerife,"0            

                2"
2009-2010,21:00,Getafe,Villarreal,"3            

                0"
2009-2010,16:00,Athletic Bilbao,Almeria,"4            

                1"
2009-2010,16:00,Deportivo La Coruna,Racing Santander,"1            

                1"
2009-2010,16:00,Osasuna,Real Zaragoza,"2            

                0"
2009-2010,18:00,Espanyol,Atletico Madrid,"3            

                0"
2009-2010,20:00,Real Mallorca,Valencia,"3            

                2"
2009-2010,17:00,Malaga,Sevilla,"1            

                2"
2009-2010,19:00,Tenerife,Real Valladolid,"0            

                0"
2009-2010,19:00,Villarreal,Sporting Gijon,"1            

                0"
2009-2010,19:00,Xerez,Getafe,"0            

                1"
2009-2010,21:00,Real Madrid,Barcelona,"0            

                2"
2009-2010,16:00,Almeria,Real Mallorca,"1            

                1"
2009-2010,16:00,Getafe,Espanyol,"1            

                1"
2009-2010,16:00,Real Valladolid,Villarreal,"0            

                2"
2009-2010,16:00,Sporting Gijon,Xerez,"2            

                2"
2009-2010,16:00,Valencia,Osasuna,"3            

                0"
2009-2010,18:00,Racing Santander,Real Madrid,"0            

                2"
2009-2010,20:00,Atletico Madrid,Deportivo La Coruna,"3            

                0"
2009-2010,17:00,Real Zaragoza,Malaga,"2            

                0"
2009-2010,19:00,Barcelona,Athletic Bilbao,"4            

                1"
2009-2010,21:00,Sevilla,Tenerife,"3            

                0"
2009-2010,20:00,Athletic Bilbao,Racing Santander,"4            

                3"
2009-2010,16:00,Deportivo La Coruna,Getafe,"1            

                3"
2009-2010,16:00,Espanyol,Sporting Gijon,"0            

                0"
2009-2010,16:00,Osasuna,Almeria,"1            

                0"
2009-2010,16:00,Xerez,Real Valladolid,"3            

                0"
2009-2010,18:00,Villarreal,Sevilla,"3            

                0"
2009-2010,20:00,Real Madrid,Atletico Madrid,"3            

                2"
2009-2010,17:00,Malaga,Tenerife,"1            

                1"
2009-2010,19:00,Real Mallorca,Barcelona,"0            

                1"
2009-2010,21:00,Real Zaragoza,Valencia,"3            

                0"
2009-2010,19:00,Getafe,Real Madrid,"2            

                4"
2009-2010,21:00,Atletico Madrid,Athletic Bilbao,"2            

                0"
2009-2010,19:00,Almeria,Real Zaragoza,"1            

                0"
2009-2010,19:00,Barcelona,Osasuna,"2            

                0"
2009-2010,19:00,Racing Santander,Real Mallorca,"0            

                0"
2009-2010,19:00,Real Valladolid,Espanyol,"0            

                0"
2009-2010,19:00,Tenerife,Villarreal,"2            

                2"
2009-2010,21:00,Valencia,Malaga,"1            

                0"
2009-2010,19:00,Sporting Gijon,Deportivo La Coruna,"2            

                1"
2009-2010,21:00,Sevilla,Xerez,"1            

                1"
2009-2010,16:00,Malaga,Villarreal,"2            

                0"
2009-2010,16:00,Osasuna,Racing Santander,"1            

                3"
2009-2010,16:00,Real Mallorca,Atletico Madrid,"4            

                1"
2009-2010,18:00,Valencia,Almeria,"2            

                0"
2009-2010,20:00,Real Zaragoza,Barcelona,"2            

                4"
2009-2010,17:00,Athletic Bilbao,Getafe,"2            

                2"
2009-2010,17:00,Deportivo La Coruna,Real Valladolid,"0            

                2"
